客户名称,方案名称,不同价格,价格名称,价格变化,在保情况
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案四-100万10%（80万）,"5500, 7150",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案一-80万10%,"6000, 6900",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案四-100万10%（80万）,"6000, 6900",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案四-100万10%（80万）,"6000, 6900",1-4类,有变化,当前在保
安徽言实人力资源有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 6300",1-4类,有变化,当前在保
安徽言实人力资源有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 6300",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3200, 3500",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3200, 3500",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3600, 4000",1-4类,有变化,当前在保
滁州弘博科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5500",1-4类,有变化,不在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3600, 4000",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3600, 4000",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3600, 4000",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3600, 4000",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3600, 4000",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3600, 4000",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案一-80万10%,"6000, 6900",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案四-100万10%（80万）,"5500, 7150",1-4类,有变化,当前在保
勤闰企业服务外包（上海）有限公司,易久保-雇主责任险-方案五-80万6%,"8100, 9000",5类,有变化,不在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 7150",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3200, 3500",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"1500, 1650",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3200, 3500",1-4类,有变化,当前在保
安徽言实人力资源有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 6300",1-4类,有变化,当前在保
湖州海川人力资源服务有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 7150",1-4类,有变化,当前在保
勤闰企业服务外包（上海）有限公司,易久保-雇主责任险-方案四-60万10%,"3150, 3500",1-4类,有变化,不在保
勤闰企业服务外包（上海）有限公司,易久保-雇主责任险-方案五-80万6%,"3600, 4000",1-4类,有变化,不在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"1200, 1350",1-4类,有变化,当前在保
宿迁中尔企业管理有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4700, 6500",1-4类,有变化,当前在保
缙云县迅利人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"4500, 6750",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"2500, 3000",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"2500, 3000",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"2500, 3000",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"2500, 3000",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"2500, 3000",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"5000, 6000",5类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"5000, 6000",5类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"5000, 6000",5类,有变化,当前在保
